chapter,code,description
02,020744**00-**-00,Boneless
02,0207441000-10-00,Boneless
02,0207442*00-2*-00,Halves or quarters
02,0207442100-21-00,Halves or quarters
02,0207443*00-3*-00,"Whole wings, with or without tips"
02,0207443100-31-00,"Whole wings, with or without tips"
02,0207444*00-4*-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207444100-41-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207445*00-5*-00,Breasts and cuts thereof
02,0207445100-51-00,Breasts and cuts thereof
02,0207446*00-6*-00,Legs and cuts thereof
02,0207446100-61-00,Legs and cuts thereof
02,0207447*00-7*-00,Paletots
02,0207447100-71-00,Paletots
02,0207448*00-8*-00,Other
02,0207448100-81-00,Other
02,0207449*00-9*-00,"Livers, other than fatty livers"
02,0207449100-91-00,"Livers, other than fatty livers"
02,0207449900-99-00,Other
02,020745**00-**-00,Boneless
02,0207451000-10-00,Boneless
02,0207452*00-2*-00,Halves or quarters
02,0207452100-21-00,Halves or quarters
02,0207453*00-3*-00,"Whole wings, with or without tips"
02,0207453100-31-00,"Whole wings, with or without tips"
02,0207454*00-4*-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207454100-41-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207455*00-5*-00,Breasts and cuts thereof
02,0207455100-51-00,Breasts and cuts thereof
02,0207456*00-6*-00,Legs and cuts thereof
02,0207456100-61-00,Legs and cuts thereof
02,0207457*00-7*-00,Paletots
02,0207457100-71-00,Paletots
02,0207458*00-8*-00,Other
02,0207458100-81-00,Other
02,0207459*00-9*-00,Fatty livers
02,0207459300-93-00,Fatty livers
02,0207459500-95-00,Other
02,0207459900-99-00,Other
02,020751**00-**-00,"Plucked, bled, not drawn, with heads and feet, known as  82 % geese"
02,0207511000-10-00,"Plucked, bled, not drawn, with heads and feet, known as  82 % geese"
02,0207519000-90-00,"Plucked and drawn, without heads and feet, with or without hearts and gizzards, known as  75 % geese , or otherwise presented"
02,020752**00-**-00,"Plucked, bled, not drawn, with heads and feet, known as  82 % geese"
02,0207521000-10-00,"Plucked, bled, not drawn, with heads and feet, known as  82 % geese"
02,0207529000-90-00,"Plucked and drawn, without heads and feet, with or without hearts and gizzards, known as  75 % geese , or otherwise presented"
02,0207530000-00-00,"Fatty livers, fresh or chilled"
02,020754**00-**-00,Boneless
02,0207541000-10-00,Boneless
02,0207542*00-2*-00,Halves or quarters
02,0207542100-21-00,Halves or quarters
02,0207543*00-3*-00,"Whole wings, with or without tips"
02,0207543100-31-00,"Whole wings, with or without tips"
02,0207544*00-4*-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207544100-41-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207545*00-5*-00,Breasts and cuts thereof
02,0207545100-51-00,Breasts and cuts thereof
02,0207546*00-6*-00,Legs and cuts thereof
02,0207546100-61-00,Legs and cuts thereof
02,0207547*00-7*-00,Paletots
02,0207547100-71-00,Paletots
02,0207548*00-8*-00,Other
02,0207548100-81-00,Other
02,0207549*00-9*-00,"Livers, other than fatty livers"
02,0207549100-91-00,"Livers, other than fatty livers"
02,0207549900-99-00,Other
02,020755**00-**-00,Boneless
02,0207551000-10-00,Boneless
02,0207552*00-2*-00,Halves or quarters
02,0207552100-21-00,Halves or quarters
02,0207553*00-3*-00,"Whole wings, with or without tips"
02,0207553100-31-00,"Whole wings, with or without tips"
02,0207554*00-4*-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207554100-41-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207555*00-5*-00,Breasts and cuts thereof
02,0207555100-51-00,Breasts and cuts thereof
02,0207556*00-6*-00,Legs and cuts thereof
02,0207556100-61-00,Legs and cuts thereof
02,0207557*00-7*-00,Paletots
02,0207557100-71-00,Paletots
02,0207558*00-8*-00,Other
02,0207558100-81-00,Other
02,0207559*00-9*-00,Fatty livers
02,0207559300-93-00,Fatty livers
02,0207559500-95-00,Other
02,0207559900-99-00,Other
02,020760**00-**-00,"Not cut in pieces, fresh, chilled or frozen"
02,0207600500-05-00,"Not cut in pieces, fresh, chilled or frozen"
02,0207601000-10-00,Boneless
02,0207602*00-2*-00,Halves or quarters
02,0207602100-21-00,Halves or quarters
02,0207603*00-3*-00,"Whole wings, with or without tips"
02,0207603100-31-00,"Whole wings, with or without tips"
02,0207604*00-4*-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207604100-41-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207605*00-5*-00,Breasts and cuts thereof
02,0207605100-51-00,Breasts and cuts thereof
02,0207606*00-6*-00,Legs and cuts thereof
02,0207606100-61-00,Legs and cuts thereof
02,0207608*00-8*-00,Other
02,0207608100-81-00,Other
02,0207609*00-9*-00,Livers
02,0207609100-91-00,Livers
02,0207609900-99-00,Other
02,020810**00-**-00,Of domestic rabbits
02,0208101000-10-00,Of domestic rabbits
02,0208109000-90-00,Other
02,0208300000-00-00,Of primates
02,020840**00-**-00,Whale meat
02,0208401000-10-00,Whale meat
02,0208402000-20-00,Seal meat
02,0208408000-80-00,Other
02,0208500000-00-00,Of reptiles (including snakes and turtles)
02,0208600000-00-00,Of camels and other camelids (Camelidae)
02,020890**00-**-00,Of domestic pigeons
02,0208901000-10-00,Of domestic pigeons
02,0208903000-30-00,"Of game, other than of rabbits or hares"
02,0208906000-60-00,Of reindeer
02,0208907000-70-00,Frogs' legs
02,0208909*00-9*-00,Other
02,0208909800-98-00,Other
02,020910**00-**-00,"Fresh, chilled, frozen, salted or in brine"
02,0209101*00-1*-00,"Fresh, chilled, frozen, salted or in brine"
02,0209101100-11-00,"Fresh, chilled, frozen, salted or in brine"
02,0209101900-19-00,Dried or smoked
02,0209109000-90-00,"Pig fat, other than that of subheading 02091011 or 02091019"
02,0209900000-00-00,Other
02,021011**00-**-00,Hams and cuts thereof
02,0210111*00-1*-00,Hams and cuts thereof
02,0210111100-11-00,Hams and cuts thereof
02,0210111900-19-00,Shoulders and cuts thereof
02,0210113*00-3*-00,Hams and cuts thereof
02,0210113100-31-00,Hams and cuts thereof
